filename,label,thai_label,created_at
60/60_0001.png,60,๖๐,2026-05-10T15:45:43.745Z
60/60_0002.png,60,๖๐,2026-05-10T15:45:39.057Z
60/60_0003.png,60,๖๐,2026-05-10T15:45:33.568Z
60/60_0004.png,60,๖๐,2026-05-10T15:45:28.912Z
60/60_0005.png,60,๖๐,2026-05-10T15:45:21.176Z
60/60_0006.png,60,๖๐,2026-05-10T15:45:12.080Z
60/60_0007.png,60,๖๐,2026-05-10T15:45:06.712Z
60/60_0008.png,60,๖๐,2026-05-10T15:45:02.488Z
60/60_0009.png,60,๖๐,2026-05-10T15:44:58.367Z
60/60_0010.png,60,๖๐,2026-05-10T15:44:53.943Z
60/60_0011.png,60,๖๐,2026-05-10T15:44:49.103Z
60/60_0012.png,60,๖๐,2026-05-10T15:44:45.247Z
60/60_0013.png,60,๖๐,2026-05-10T15:44:41.127Z
60/60_0014.png,60,๖๐,2026-05-10T15:44:37.031Z
60/60_0015.png,60,๖๐,2026-05-10T15:44:33.111Z
60/60_0016.png,60,๖๐,2026-05-10T15:44:28.775Z
60/60_0017.png,60,๖๐,2026-05-10T15:44:24.463Z
60/60_0018.png,60,๖๐,2026-05-10T15:44:20.326Z
60/60_0019.png,60,๖๐,2026-05-10T15:44:16.198Z
60/60_0020.png,60,๖๐,2026-05-10T15:44:11.598Z
60/60_0021.png,60,๖๐,2026-05-10T15:44:05.878Z
60/60_0022.png,60,๖๐,2026-05-10T15:44:01.189Z
60/60_0023.png,60,๖๐,2026-05-10T15:43:56.422Z
60/60_0024.png,60,๖๐,2026-05-10T15:43:52.061Z
60/60_0025.png,60,๖๐,2026-05-10T15:43:40.957Z
60/60_0026.png,60,๖๐,2026-05-10T15:43:36.397Z
60/60_0027.png,60,๖๐,2026-05-10T15:43:32.181Z
60/60_0028.png,60,๖๐,2026-05-10T15:43:27.629Z
60/60_0029.png,60,๖๐,2026-05-10T15:43:23.333Z
60/60_0030.png,60,๖๐,2026-05-10T15:43:14.668Z
60/60_0031.png,60,๖๐,2026-05-10T15:43:10.308Z
60/60_0032.png,60,๖๐,2026-05-10T15:43:05.836Z
60/60_0033.png,60,๖๐,2026-05-10T15:43:01.004Z
60/60_0034.png,60,๖๐,2026-05-10T15:42:56.541Z
60/60_0035.png,60,๖๐,2026-05-10T15:42:52.996Z
60/60_0036.png,60,๖๐,2026-05-10T15:42:46.803Z
60/60_0037.png,60,๖๐,2026-05-10T15:42:41.483Z
60/60_0038.png,60,๖๐,2026-05-10T15:42:38.123Z
60/60_0039.png,60,๖๐,2026-05-10T15:42:34.883Z
60/60_0040.png,60,๖๐,2026-05-10T15:42:31.154Z
60/60_0041.png,60,๖๐,2026-05-10T15:42:26.987Z
60/60_0042.png,60,๖๐,2026-05-10T15:42:22.994Z
